Time, ID, Data
7864164,421400B,00A13E0800000108
7877826,C054003,1781CAE180DB0000
7881384,6254000,00FFFF00FFFFFF20
7890383,302911A,000006BF
7893903,4214006,000C000000002000
7896763,4294001,0000903900000000
7918943,4214001,0000802E10332B00
7928302,421400B,00A13E0800000108
7931161,4294001,0000903900000000
7936442,4394100,8327DD0004010000
7951162,621401A,8007010000000000
7954102,6314000,4000000000000000
7956262,4394000,0000004E
7959122,4294001,0000903900000000
7964003,4214001,0000802E10332B00
7977822,6314003,A210700080800000
7979601,621400A,0000
7986422,4214006,000C000000002000
7989283,4294001,0000903900000000
7991382,302911A,000007A2
7994723,4214001,0000802E10332B00
8003720,421400B,00A13E0800000108
8006260,2214000,806800000000
8023661,4214001,0000802E10332B00
8026521,4294001,0000903900000000
8036301,4394100,8327DB0004000000
8049181,4294001,0000903900000000
8056361,421400B,00A13E0800000108
8059161,4214001,0000802E10332B00
8061321,4394000,0000004E
8071279,6214000,2000400000230E00
8077880,A3D4003,2CA5100000000000
8088000,4214001,0000802E10332B00
8090900,4214006,000C000000002000
8093040,302911A,00000819
8095899,4294001,0000903900000000
8098840,6284000,0000000000000000
8115119,4294001,0000903900000000
8116540,1E114000,
8119940,421400B,00A13E0800000108
8122360,1E114020,100000342190
8124799,1E114003,100000391920
8127239,1E114024,100000391920
8129620,1E11400A,AAAAAAAAAAA0
8132520,6254000,00FFFF00FFFFFF20
8135322,4214001,0000802E10332B00
8138200,4394100,8347DC0004000000
8140639,1E11401A,100000342190
8149678,4294001,0000903900000000
8155658,4394000,0000004E
8160478,4214001,0000802E10332B00
8174959,4214006,000C000000002000
8177819,4294001,0000903900000000
8180678,421400B,00A13E0800000108
8183538,A354003,2CA5100000000000
8190619,302911A,00000904
8201399,6314000,4000000000000000
8204258,621401A,8007010000000000
8208198,4214001,0000802E10332B00
8211058,4294001,0000903900000000
8231418,62BBF00,0000000000000000
8234277,4294001,0000903900000000
8237136,421400B,00A13E0800000108
8239936,4214001,0000802E10332B00
8242798,4394100,8327DD0004000000
8255637,4394000,0000004E
8258178,2214000,806800000000
8264097,4214001,0000802E10332B00
8270357,4294001,0000903900000000
8275277,4214006,000C000000002000
8278197,A194003,0000400000000000
8289016,4214001,0000802E10332B00
8291117,302911A,00000A23
8293976,421400B,00A13E0800000108
8301376,6264000,1432CF8003003104
8313716,4294001,0000903900000000
8321295,6214000,2000400000230E00
8336295,4394100,8327DA0004000000
8339096,4214001,0000802E10332B00
8341956,4294001,0000903900000000
8350175,421400B,00A13E0800000108
8353035,63D4000,554A000006C50000
8355596,4394000,0000004E
8364015,4214001,0000802E10332B00
8366875,4294001,0000903900000000
8376335,4214006,000C000000002000
8379174,C394003,C202000008016000
8382075,6254000,00FFFF00FFFFFF20
8390595,302911A,00000B3E
8393834,4214001,0000802E10332B00
8400415,421400B,00A13E0800000108
8410734,4294001,0000903900000000
8412855,C3D4000,1AAE
8419514,4214001,0000802E10332B00
8436415,4394100,8337DB0004018000
8445635,4294001,0000903900000000
8451133,621401A,8007010000000000
8454073,6314000,4000000000000000
8456233,4394000,0000004E
8464193,421400B,00A13E0800000108
8468193,E094000,001E04401C4B
8470333,E094024,003A
8472113,E094003,001E
8474913,4214001,0000802E10332B00
8477814,4214006,000C000000002000
8480673,4294001,0000903900000000
8483494,6314003,A210700080800000
8485294,E09400A,0036
8487092,E09401A,003E
8488873,621400A,0000
8490972,302911A,00000C6D
8492751,E094020,000A
8501432,4294001,0000903900000000
8504231,4214001,0000802E10332B00
8506772,2214000,806800000000
8508892,6314020,100000AC
8525711,421400B,00A13E0800000108
8528711,4214001,0000802E10332B00
8531591,4294001,0000903900000000
8536350,4394100,8337DD0004000000
8555271,4214001,0000802E10332B00
8557430,4394000,0000004E
8560311,4294001,0000903900000000
8571251,6214000,2000400000230E00
8578211,4214006,000C000000002000
8581071,421400B,00A13E0800000108
8585491,4214001,0000802E10332B00
8590090,4294001,0000903900000000
8592211,302911A,00000D70
8596411,6284000,0000000000000000
8611290,6214000,2800400000230E00
8615530,4294001,0000903900000000
8628929,421400B,00A13E0800000108
8631829,6254000,00FFFF00FFFFFF20
8634748,6314024,0000000000000000
8637629,4394100,8327DC0004008000
8640428,4214001,0000802E10332B00
8646388,2294000,0000000000000000
8649248,4294001,0000903900000000
8652828,6314003,A210300080800000
8655569,4394000,0000004E
8676327,4214006,000C000000002000
8680188,421400B,00A13E0800000108
8683567,4214001,0000802E10332B00
8690567,302911A,00000E57
8693427,4294001,0000903900000000
8701127,621401A,8007010000000000
8704067,6314000,4000000000000000
8709027,4214001,0000802E10332B00
8723707,4294001,0000903900000000
8731425,62BBF00,0000000000000000
8736326,4394100,8337DB0004000000
8739125,4214001,0000802E10332B00
8741985,421400B,00A13E0800000108
8748946,4294001,0000903900000000
8755626,4394000,0000004E
8758166,2214000,806800000000
8775226,4214006,000C000000002000
8778085,4294001,0000903900000000
8780506,C214003,033704012013
8790565,302911A,00000F4A
8800383,4214001,0000802E10332B00
8803265,6264000,1432CF8023003104
8806124,4294001,0000903900000000
8808984,421400B,00A13E0800000108
8821323,6214000,2800400000230E00
8828244,4214001,0000802E10332B00
8836304,4394100,8327DC0004010000
8851323,63D4000,5556000006C50000
8854123,4214001,0000802E10332B00
8856983,4294001,0000903900000000
8859844,421400B,00A13E0800000108
8862004,4394000,0000004E
8876323,4214006,000C000000002000
8879124,C054003,1781CAE1808B0000
8881982,4294001,0000903900000000
8884783,4214001,0000802E10332B00
8887684,6254000,00FFFF00FFFFFF20
8890382,302911A,000000F1
8910462,421400B,00A13E0800000108
8913643,4214001,0000802E10332B00
8918442,4294001,0000903900000000
8936362,4394100,8337DC0004000000
8943781,4294001,0000903900000000
8946581,4214001,0000802E10332B00
8951321,621401A,8007010000000000
8954261,6314000,4000000000000000
8956421,4394000,0000004E
8971480,4294001,0000903900000000
8974280,4214001,0000802E10332B00
8977181,4214006,000C000000002000
8978959,621400A,0000
8981779,6314003,A210300080800000
8990260,421400B,00A13E0800000108
8992400,302911A,000001EC
8998442,4294001,0000903900000000
9006220,2214000,806800000000
9023858,4294001,0000903900000000
9036458,4394100,8327DE0004000000
9041378,4214001,0000802E10332B00
9044239,421400B,00A13E0800000108
9049919,4294001,0000903900000000
9055658,4394000,0000004E
9071418,6214000,2800400000230E00
9075498,4214006,000C000000002000
9078358,4294001,0000903900000000
9081238,A3D4003,2CA5100000000000
9084039,4214001,0000802E10332B00
9090359,302911A,000002CB
9093417,421400B,00A13E0800000108
9096397,6284000,0000000000000000
9113296,4214001,0000802E10332B00
9114897,1E114000,
9117438,1E114003,100000391920
9119817,1E11400A,AAAAAAAAAAA0
9122237,1E114020,100000342190
9124678,1E114024,100000391920
9128497,4294001,0000903900000000
9131397,6254000,00FFFF00FFFFFF20
9133837,1E11401A,100000342190
9136717,4394100,8327DC0004008000
9143536,421400B,00A13E0800000108
9148838,4214001,0000802E10332B00
9155658,4394000,0000004E
9159696,4294001,0000903900000000
9174855,4214001,0000802E10332B00
9177756,4214006,000C000000002000
9180616,A354003,2CA5100000000000
9190556,302911A,000003D6
9195396,421400B,00A13E0800000108
9201295,621401A,8007010000000000
9204234,6314000,4000000000000000
9207035,4214001,0000802E10332B00
9209914,4294001,0000903900000000
9231395,62BBF00,0000000000000000
9234195,4214001,0000802E10332B00
9237053,4294001,0000903900000000
9239935,4394100,8337DC0004008000
9251233,421400B,00A13E0800000108
9255593,4394000,0000004E
9258134,2214000,806800000000
9260993,4294001,0000903900000000
9263794,4214001,0000802E10332B00
9275554,4214006,000C000000002000
9278474,A194003,0000400000000000
9290352,302911A,00000485
9296253,4294001,0000903900000000
9301312,6264000,1431508023003104
9311153,4214001,0000802E10332B00
9318290,421400B,00A13E0800000108
9321391,6214000,2800400000230E00
9326290,4294001,0000903900000000
9336350,4394100,8327DC0004000000
9339150,4214001,0000802E10332B00
9351290,63D4000,555C000006C50000
9355651,4394000,0000004E
9358511,4294001,0000903900000000
9364111,4214001,0000802E10332B00
9370831,421400B,00A13E0800000108
9377834,C394003,C202000008016000
9380730,4214006,000C000000002000
9383631,621401A,0007010000000000
9386531,6254000,00FFFF00FFFFFF20
9389390,4294001,0000903900000000
9391510,302911A,00000598
9394310,4214001,0000802E10332B00
9408809,4294001,0000903900000000
9412750,C3D4000,1AAE
9428609,421400B,00A13E0800000108
9433689,4214001,0000802E10332B00
9436569,4294001,0000903900000000
9439450,4394100,8327DC0004000000
9451130,621401A,0007010000000000
9454070,6314000,4000000000000000
9456229,4394000,0000004E
9464149,4294001,0000903900000000
9468128,E094000,001E04401C4B
9471248,4214001,0000802E10332B00
9473028,E094003,001E
9474808,E094024,003A
9476607,E09400A,0036
9479427,6314003,A210300080800000
9482326,4214006,000C000000002000
9484107,621400A,0000
9485887,E09401A,001E
9487667,E094020,000A
9490528,4294001,0000903900000000
9492648,302911A,000006BF
9494770,6314020,100000AC
9498408,421400B,00A13E0800000108
9503970,4214001,0000802E10332B00
9506507,2214000,806800000000
9516668,4294001,0000903900000000
9536406,4214001,0000802E10332B00
9539266,4394100,8357DB0004008000
9543785,4294001,0000903900000000
9548486,421400B,00A13E0800000108
9555745,4394000,0000004E
9569046,4294001,0000903900000000
9571846,4214001,0000802E10332B00
9574706,6214000,2800400000230E00
9590546,302911A,000007A2
9593606,4214006,000C000000002000
9596405,4214001,0000802E10332B00
9599265,4294001,0000903900000000
9602147,421400B,00A13E0800000108
9605085,6284000,0000000000000000
9631164,4214001,0000802E10332B00
9634024,4294001,0000903900000000
9636905,4394100,8327DC0003FF8000
9639825,6314024,0000000000000000
9642724,6254000,00FFFF00FFFFFF20
9646264,2294000,0000000000000000
9653404,421400B,00A13E0800000108
9655606,4394000,0000004E
9668144,4294001,0000903900000000
9676445,4214006,000C000000002000
9679264,4214001,0000802E10332B00
9690543,302911A,00000819
9699624,4294001,0000903900000000
9702523,621401A,0007010000000000
9705463,6314000,4000000000000000
9708263,4214001,0000802E10332B00
9711124,421400B,00A13E0800000108
9731343,62BBF00,0000000000000000
9734204,4294001,0000903900000000
9737084,4394100,8357DC0004000000
9748246,4214001,0000802E10332B00
9755602,4394000,0000004E
9758143,2214000,806800000000
9761003,4294001,0000903900000000
9764182,421400B,00A13E0800000108
9775182,4214001,0000802E10332B00
9777602,C214003,033704012013
9786262,4214006,000C000000002000
9790563,302911A,00000904
9793424,6314003,2210300000000000
9801303,4294001,0000903900000000
9804103,6264000,142F688003003104
9819922,421400B,00A13E0800000108
9822783,6214000,2800400000230E00
9828342,4294001,0000903900000000
9831143,4214001,0000802E10332B00
9836342,4394100,8337DC0004008000
9851283,63D4000,555B000006C50000
9855624,4394000,0000004E
9859302,4214001,0000802E10332B00
9862164,4294001,0000903900000000
9877781,C054003,1781CAE1888B0000
9880683,4214006,000C000000002000
9883602,6254000,00FFFF00FFFFFF20
9890183,4294001,0000903900000000
9892282,302911A,00000A23
9899621,421400B,00A13E0800000108
9909860,4214001,0000802E10332B00
9923801,4294001,0000903900000000
9936300,4394100,8337D90004010000
9939100,4214001,0000802E10332B00
9950260,4294001,0000903900000000
9953159,621401A,0007010000000000
9956101,6314000,4000000000000000
9958261,4394000,0000004E
9964081,4214001,0000802E10332B00
9968521,421400B,00A13E0800000108
9975181,4214006,000C000000002000
9978039,4294001,0000903900000000
9979823,621400A,0000
9982680,6314003,2210300000000000
9989559,4214001,0000802E10332B00
9991680,302911A,00000B3E
10006120,2214000,806800000000
10020239,4294001,0000903900000000
10023779,4214001,0000802E10332B00
10026640,421400B,00A13E0800000108
10036539,4394100,8327DB0004008000
10045320,4294001,0000903900000000
10054980,4214001,0000802E10332B00
10057140,4394000,0000004E
10071418,6214000,2800400000230E00
10074279,4294001,0000903900000000
10077880,A3D4003,2CA5100000000000
10080780,4214006,000C000000002000
10083640,421400B,00A13E0800000108
10086439,4214001,0000802E10332B00
10090319,302911A,00000C6D
10096439,6284000,0000000000000000
10103679,4294001,0000903900000000
10125038,4214001,0000802E10332B00
10129039,4294001,0000903900000000
10131939,6254000,00FFFF00FFFFFF20
10134799,421400B,00A13E0800000108
10137639,4394100,8337DD0004010000
10155618,4394000,0000004E
10158418,4214001,0000802E10332B00
10177858,A354003,2CA5100000000000
10180757,4214006,000C000000002000
10183617,4294001,0000903900000000
10186479,421400B,00A13E0800000108
10190139,4214001,0000802E10332B00
10192258,302911A,00000D70
10201318,621401A,0007010000000000
10204258,6314000,4000000000000000
10207118,4294001,0000903900000000
10231299,62BBF00,0000000000000000
10236358,4394100,8337DB0004010000
10239979,4294001,0000903900000000
10242838,421400B,00A13E0800000108
