Time, ID, Bus, Data
153246276,C394003,98,C202000008016000
153260596,4214001,98,0000916005DD2100
153270734,4294001,98,0000000000000180
153276294,1E114000,98,
153279995,1E114020,98,100000391920
153281734,C3D4000,98,1E11
153284175,1E114003,98,100000391920
153286634,1E11400A,98,100000391920
153297094,1E11401A,98,100000391920
153299934,4394100,98,7EB7EB0003FD8000
153307494,621401A,98,8005010000000000
153310593,4214001,98,0000916005DD2100
153313532,6314000,98,4000000000000000
153316992,4394000,98,00000043
153320733,4294001,98,0000000000000180
153323633,421400B,98,00863E0440000000
153334491,E094000,98,000E04401C4B
153339573,4214006,98,0000000000000000
153341353,E094003,98,001E
153343233,E094020,98,000A
153345011,E09400A,98,001E
153347832,6314003,98,A210300080800000
153349612,621400A,98,0000
153351711,6314020,98,080000A8
153353491,E09401A,98,001E
153360632,4214001,98,0000916005FA2100
153367392,2214000,98,806800000000
153370732,4294001,98,0000000000000180
153397771,4394100,98,7EA7EB0003FD8000
153410891,4214001,98,0000916005FA2100
153417110,4394000,98,00000043
153420749,4294001,98,0000000000000180
153423630,421400B,98,00863E0440000000
153432829,6214000,98,28004000003A0B00
153438029,4214006,98,0000000000000000
153457929,6284000,98,0000000000000000
153460748,4214001,98,00009160060F2100
153470748,4294001,98,0000000000000180
153492786,6254000,98,80FFFF00FFFFFF00
153497807,4394100,98,7EA7EA0003FE0000
153507847,2294000,98,0000000000000000
153510665,4214001,98,00009160060F2100
153517006,4394000,98,00000043
153521145,4294001,98,0000000000000180
153524026,421400B,98,00863E0440000000
153539325,4214006,98,0000000000000000
153557486,621401A,98,8005010000000000
153560664,4214001,98,0000916005E82100
153563605,6314000,98,0000000000000000
153570785,4294001,98,0000000000000180
153597744,4394100,98,7EA7EA0003FD8000
153610723,4214001,98,0000916005E82100
153616983,4394000,98,00000043
153619523,2214000,98,806800000000
153622403,421400B,98,00863E0440000000
153625321,4294001,98,0000000000000180
153639322,4214006,98,0000000000000000
153645902,C214003,98,004104012013
153660881,4214001,98,0000916005E82100
153663640,6264000,98,0B1ECF7FB3232000
153670780,4294001,98,0000000000000180
153682601,6214000,98,28004000003A0B00
153697720,4394100,98,7EA7EA0003FE0000
153710659,4214001,98,0000916005BA2100
153713559,63D4000,98,565A000006C00000
153716960,4394000,98,00000043
153720998,4294001,98,0000000000000180
153723878,421400B,98,00863E0440000000
153739439,4214006,98,0000000000000000
153742578,6254000,98,80FFFF00FFFFFF00
153746238,C054003,98,1781CAE180E70000
153760858,4214001,98,0000916005BA2100
153770997,4294001,98,0000000000000180
153797655,4394100,98,7EB7EB0003FD8000
153807475,621401A,98,8005010000000000
153810896,4214001,98,0000916005AC2100
153813855,6314000,98,0000000000000000
153816976,4394000,98,00000043
153820975,4294001,98,0000000000000180
153823855,421400B,98,00863E0440000000
