Time, ID, Data
1277287,4294001,0000000000000180
1277290,6314000,0000000000000000
1277294,4394000,00000094
1277306,E094000,001E04401C4B
1277309,E094003,000E
1277313,E09400A,000E
1277317,E094020,000A
1277320,18DA60F1,0322100000000000
1277324,E09401A,000E
1277327,4214001,0100808902D41700
1277330,18DAF160,056210000B80
1277337,4294001,0000000000000180
1277339,421400B,00863E0400000000
1277344,2214000,006800000000
1277350,6314003,2010300000000000
1277353,4214006,0000000000000000
1277369,6314020,10000098
1277375,4394100,7EB7EA0003FE8000
1277377,4214001,0100808902DB1700
1277387,4294001,0000000000000180
1277394,4394000,00000094
1277410,6214000,2C00400000340B00
1277420,18DA60F1,0322100000000000
1277426,4214001,0100808902DB1700
1277430,18DAF160,056210000B80
1277435,6284000,0000000000000000
1277438,4294001,0000000000000180
1277440,421400B,00863E0400000000
1277453,4214006,0000000000000000
1277470,6254000,80FFFF00FFFFFF00
1277475,4394100,7EA7EA0003FE0000
1277477,4214001,0100808902DB1700
1277485,2294000,0000000000000000
1277488,4294001,0000000000000180
1277494,4394000,00000094
1277497,621401A,0005010000000000
1277520,18DA60F1,0322100000000000
1277526,4214001,0100808902DB1700
1277530,18DAF160,056210000B80
1277537,4294001,0000000000000180
1277539,421400B,00863E0400000000
1277542,6314000,0000000000000000
1277553,4214006,0000000000000000
1277575,4394100,7EC7EA0003FE0000
1277577,4214001,0100808902DB1700
1277587,4294001,0000000000000180
1277594,4394000,00000094
1277596,2214000,006800000000
1277620,18DA60F1,0322100000000000
1277626,4214001,0100808902DB1700
1277630,18DAF160,056210000B80
1277637,4294001,0000000000000180
1277639,421400B,00863E0400000000
1277642,6264000,071EB37FC01A1B00
1277650,C214003,133901012013
1277653,4214006,0000000000000000
1277655,621400A,0000
1277660,6214000,2C00400000340B00
1277675,4394100,7EA7EA0003FE0000
1277677,4214001,0100808902DB1700
1277687,4294001,0000000000000180
1277690,63D4000,595B00000BC00000
1277694,4394000,00000094
1277720,6254000,80FFFF00FFFFFF00
1277722,18DA60F1,0322100000000000
1277726,4214001,0100808902ED1700
1277730,18DAF160,056210000B80
1277737,4294001,0000000000000180
1277739,421400B,00863E0400000000
1277745,621401A,0005010000000000
1277750,C054003,0471CAE188CC0000
1277753,4214006,0000000000000000
1277774,4394100,7EA7EA0003FE0000
1277777,4214001,0100808902ED1700
1277787,4294001,0000000000000180
1277790,6314000,0000000000000000
1277794,4394000,00000094
1277820,18DA60F1,0322100000000000
1277826,4214001,0100808902ED1700
1277830,18DAF160,056210000B80
1277837,4294001,0000000000000180
1277839,421400B,00863E0400000000
1277842,18DA40F1,03220131
1277844,2214000,006800000000
1277846,18DAF140,0462013114
1277850,6314003,2010300000000000
1277853,4214006,0000000000000000
1277875,4394100,7EB7EA0003FE0000
1277877,4214001,0100808902DF1700
1277887,4294001,0000000000000180
